compid,dhid,midx,midy,midz,topx,topy,topz,botx,boty,botz,length,from,to,geocod,bound,cut,mot,rock,rock01,ore,flagug
RL5M_ROCK,10,-129.260,-256.996,2472.873,-128.698,-257.006,2475.309,-129.823,-256.987,2470.437,5.000,85.000,90.000,1,1,1.070,0.040,1.000,100.000,5,1
RL5M_ROCK,10,-130.385,-256.977,2468.001,-129.823,-256.987,2470.437,-130.947,-256.967,2465.565,5.000,90.000,95.000,1,1,1.450,0.050,1.000,100.000,5,1
RL5M_ROCK,10,-131.509,-256.957,2463.129,-130.947,-256.967,2465.565,-132.072,-256.947,2460.693,5.000,95.000,100.000,1,1,1.730,0.060,1.000,100.000,5,1
RL5M_ROCK,10,-132.634,-256.938,2458.257,-132.072,-256.947,2460.693,-133.196,-256.928,2455.821,5.000,100.000,105.000,1,1,0.940,0.040,1.000,100.000,5,1
RL5M_ROCK,10,-133.759,-256.918,2453.385,-133.196,-256.928,2455.821,-134.321,-256.908,2450.949,5.000,105.000,110.000,1,1,0.690,0.010,1.000,100.000,2,1
RL5M_ROCK,10,-134.883,-256.898,2448.513,-134.321,-256.908,2450.949,-135.445,-256.889,2446.077,5.000,110.000,115.000,1,1,0.850,0.010,1.000,100.000,2,1
RL5M_ROCK,10,-136.008,-256.879,2443.642,-135.445,-256.889,2446.077,-136.570,-256.869,2441.206,5.000,115.000,120.000,1,1,0.820,0.010,1.000,100.000,2,1
RL5M_ROCK,10,-137.132,-256.859,2438.770,-136.570,-256.869,2441.206,-137.695,-256.849,2436.334,5.000,120.000,125.000,1,1,0.750,0.010,1.000,100.000,2,1
RL5M_ROCK,10,-138.257,-256.839,2433.898,-137.695,-256.849,2436.334,-138.819,-256.830,2431.462,5.000,125.000,130.000,1,1,0.950,0.020,1.000,100.000,2,1
RL5M_ROCK,10,-139.381,-256.820,2429.026,-138.819,-256.830,2431.462,-139.944,-256.810,2426.590,5.000,130.000,135.000,1,1,1.010,0.020,1.000,100.000,2,1
RL5M_ROCK,10,-140.506,-256.800,2424.154,-139.944,-256.810,2426.590,-141.068,-256.790,2421.718,5.000,135.000,140.000,1,1,0.800,0.020,1.000,100.000,2,1
RL5M_ROCK,10,-141.631,-256.781,2419.282,-141.068,-256.790,2421.718,-142.193,-256.771,2416.846,5.000,140.000,145.000,1,1,0.690,0.010,1.000,100.000,2,1
RL5M_ROCK,11,-58.592,-250.811,2553.704,-58.030,-250.840,2556.140,-59.153,-250.781,2551.268,5.000,0.000,5.000,6,,0.180,0.010,6.000,100.000,6,-99
RL5M_ROCK,11,-59.715,-250.752,2548.832,-59.153,-250.781,2551.268,-60.276,-250.722,2546.396,5.000,5.000,10.000,6,,0.190,0.010,6.000,100.000,6,-99
RL5M_ROCK,11,-60.838,-250.693,2543.960,-60.276,-250.722,2546.396,-61.400,-250.663,2541.524,5.000,10.000,15.000,6,,0.190,0.010,6.000,100.000,6,-99
RL5M_ROCK,11,-61.961,-250.634,2539.089,-61.400,-250.663,2541.524,-62.523,-250.605,2536.653,5.000,15.000,20.000,6,,0.200,0.040,6.000,100.000,6,-99
RL5M_ROCK,11,-63.084,-250.575,2534.217,-62.523,-250.605,2536.653,-63.646,-250.546,2531.781,5.000,20.000,25.000,6,,0.200,0.040,6.000,100.000,6,-99
RL5M_ROCK,11,-64.208,-250.516,2529.345,-63.646,-250.546,2531.781,-64.769,-250.487,2526.909,5.000,25.000,30.000,5,,0.160,0.020,5.000,100.000,6,-99
RL5M_ROCK,11,-65.331,-250.457,2524.473,-64.769,-250.487,2526.909,-65.892,-250.428,2522.037,5.000,30.000,35.000,6,,0.210,0.040,6.000,100.000,6,-99
RL5M_ROCK,11,-66.454,-250.399,2519.601,-65.892,-250.428,2522.037,-67.016,-250.369,2517.165,5.000,35.000,40.000,5,,0.150,0.000,5.000,100.000,5,-99
RL5M_ROCK,11,-67.577,-250.340,2514.729,-67.016,-250.369,2517.165,-68.139,-250.310,2512.293,5.000,40.000,45.000,5,,0.150,0.010,5.000,100.000,5,-99
RL5M_ROCK,11,-68.701,-250.281,2509.857,-68.139,-250.310,2512.293,-69.262,-250.251,2507.421,5.000,45.000,50.000,5,,0.150,0.040,5.000,100.000,5,-99
RL5M_ROCK,11,-69.824,-250.222,2504.986,-69.262,-250.251,2507.421,-70.385,-250.192,2502.550,5.000,50.000,55.000,5,,0.150,0.040,5.000,100.000,5,-99
RL5M_ROCK,11,-70.947,-250.163,2500.114,-70.385,-250.192,2502.550,-71.509,-250.134,2497.678,5.000,55.000,60.000,5,,0.150,0.070,5.000,100.000,5,-99
RL5M_ROCK,11,-72.070,-250.104,2495.242,-71.509,-250.134,2497.678,-72.632,-250.075,2492.806,5.000,60.000,65.000,5,,0.160,0.080,5.000,100.000,5,-99
RL5M_ROCK,11,-73.193,-250.045,2490.370,-72.632,-250.075,2492.806,-73.755,-250.016,2487.934,5.000,65.000,70.000,5,,0.160,0.050,5.000,100.000,5,-99
RL5M_ROCK,11,-74.317,-249.986,2485.498,-73.755,-250.016,2487.934,-74.878,-249.957,2483.062,5.000,70.000,75.000,5,,0.160,0.060,5.000,100.000,5,-99
RL5M_ROCK,11,-74.887,-249.957,2483.023,-74.878,-249.957,2483.062,-74.896,-249.956,2482.985,0.080,75.000,75.080,1,,0.940,0.050,1.000,100.000,5,-99
RL5M_ROCK,11,-75.458,-249.927,2480.549,-74.896,-249.956,2482.985,-76.019,-249.897,2478.113,5.000,75.080,80.080,1,1,0.938,0.050,1.000,100.000,5,1
RL5M_ROCK,11,-76.581,-249.868,2475.677,-76.019,-249.897,2478.113,-77.143,-249.838,2473.241,5.000,80.080,85.080,1,1,0.790,0.030,1.000,100.000,5,1
RL5M_ROCK,11,-77.704,-249.809,2470.805,-77.143,-249.838,2473.241,-78.266,-249.779,2468.369,5.000,85.080,90.080,1,1,0.789,0.020,1.000,100.000,5,1
RL5M_ROCK,11,-78.827,-249.750,2465.933,-78.266,-249.779,2468.369,-79.389,-249.721,2463.497,5.000,90.080,95.080,1,1,0.704,0.030,1.000,100.000,5,1
RL5M_ROCK,11,-79.951,-249.691,2461.061,-79.389,-249.721,2463.497,-80.512,-249.662,2458.625,5.000,95.080,100.080,1,1,0.934,0.051,1.000,100.000,5,1
RL5M_ROCK,11,-81.074,-249.632,2456.190,-80.512,-249.662,2458.625,-81.635,-249.603,2453.754,5.000,100.080,105.080,1,1,1.156,0.090,1.000,100.000,5,1
RL5M_ROCK,11,-82.197,-249.573,2451.318,-81.635,-249.603,2453.754,-82.759,-249.544,2448.882,5.000,105.080,110.080,1,1,1.500,0.100,1.000,100.000,5,1
RL5M_ROCK,11,-83.311,-249.515,2446.485,-82.759,-249.544,2448.882,-83.864,-249.486,2444.087,4.920,110.080,115.000,1,1,1.490,0.070,1.000,100.000,5,1
RL5M_ROCK,12,2.460,-246.872,2559.829,3.190,-246.910,2562.220,1.730,-246.833,2557.438,5.000,0.000,5.000,6,,0.170,0.030,6.000,100.000,6,-99
RL5M_ROCK,12,1.000,-246.795,2555.048,1.730,-246.833,2557.438,0.270,-246.757,2552.657,5.000,5.000,10.000,6,,0.180,0.030,6.000,100.000,6,-99
RL5M_ROCK,12,-0.460,-246.719,2550.266,0.270,-246.757,2552.657,-1.190,-246.680,2547.875,5.000,10.000,15.000,6,,0.180,0.030,6.000,100.000,6,-99
RL5M_ROCK,12,-1.919,-246.642,2545.485,-1.190,-246.680,2547.875,-2.649,-246.604,2543.094,5.000,15.000,20.000,6,,0.190,0.060,6.000,100.000,6,-99
RL5M_ROCK,12,-3.379,-246.566,2540.703,-2.649,-246.604,2543.094,-4.109,-246.527,2538.312,5.000,20.000,25.000,6,,0.180,0.040,6.000,100.000,6,-99
RL5M_ROCK,12,-4.839,-246.489,2535.922,-4.109,-246.527,2538.312,-5.569,-246.451,2533.531,5.000,25.000,30.000,6,,0.180,0.040,6.000,100.000,6,-99
RL5M_ROCK,12,-6.299,-246.413,2531.140,-5.569,-246.451,2533.531,-7.029,-246.374,2528.749,5.000,30.000,35.000,6,,0.180,0.030,6.000,100.000,6,-99
RL5M_ROCK,12,-7.759,-246.336,2526.359,-7.029,-246.374,2528.749,-8.489,-246.298,2523.968,5.000,35.000,40.000,6,,0.190,0.030,6.000,100.000,6,-99
RL5M_ROCK,12,-9.219,-246.260,2521.577,-8.489,-246.298,2523.968,-9.949,-246.221,2519.186,5.000,40.000,45.000,6,,0.200,0.060,6.000,100.000,6,-99
RL5M_ROCK,12,-10.604,-246.187,2517.039,-9.949,-246.221,2519.186,-11.260,-246.153,2514.892,4.491,45.000,49.491,5,,0.150,0.000,5.000,100.000,5,-99
RL5M_ROCK,12,-11.334,-246.149,2514.648,-11.260,-246.153,2514.892,-11.409,-246.145,2514.405,0.509,49.491,50.000,5,1,0.150,0.000,5.000,100.000,5,1
RL5M_ROCK,12,-12.138,-246.107,2512.014,-11.409,-246.145,2514.405,-12.868,-246.068,2509.623,5.000,50.000,55.000,1,1,5.230,0.100,1.000,100.000,5,1
RL5M_ROCK,12,-13.598,-246.030,2507.232,-12.868,-246.068,2509.623,-14.328,-245.992,2504.842,5.000,55.000,60.000,1,1,5.000,0.100,1.000,100.000,5,1
RL5M_ROCK,12,-15.058,-245.954,2502.451,-14.328,-245.992,2504.842,-15.788,-245.915,2500.060,5.000,60.000,65.000,1,1,5.220,0.100,1.000,100.000,5,1
RL5M_ROCK,12,-16.518,-245.877,2497.669,-15.788,-245.915,2500.060,-17.248,-245.839,2495.279,5.000,65.000,70.000,1,1,3.060,0.080,1.000,100.000,5,1
RL5M_ROCK,12,-17.978,-245.801,2492.888,-17.248,-245.839,2495.279,-18.708,-245.762,2490.497,5.000,70.000,75.000,1,1,1.980,0.060,1.000,100.000,5,1
RL5M_ROCK,12,-19.438,-245.724,2488.106,-18.708,-245.762,2490.497,-20.168,-245.686,2485.716,5.000,75.000,80.000,1,1,1.720,0.050,1.000,100.000,5,1
RL5M_ROCK,12,-20.898,-245.648,2483.325,-20.168,-245.686,2485.716,-21.628,-245.609,2480.934,5.000,80.000,85.000,1,1,0.750,0.070,1.000,100.000,2,1
RL5M_ROCK,12,-22.357,-245.571,2478.543,-21.628,-245.609,2480.934,-23.087,-245.533,2476.153,5.000,85.000,90.000,1,1,0.820,0.090,1.000,100.000,2,1
RL5M_ROCK,12,-23.817,-245.495,2473.762,-23.087,-245.533,2476.153,-24.547,-245.456,2471.371,5.000,90.000,95.000,1,1,0.620,0.060,1.000,100.000,2,1
RL5M_ROCK,12,-25.277,-245.418,2468.980,-24.547,-245.456,2471.371,-26.007,-245.380,2466.590,5.000,95.000,100.000,1,1,0.660,0.090,1.000,100.000,2,1
RL5M_ROCK,12,-26.737,-245.342,2464.199,-26.007,-245.380,2466.590,-27.467,-245.303,2461.808,5.000,100.000,105.000,1,1,1.380,0.060,1.000,100.000,2,1
RL5M_ROCK,12,-28.197,-245.265,2459.417,-27.467,-245.303,2461.808,-28.927,-245.227,2457.026,5.000,105.000,110.000,1,1,0.900,0.030,1.000,100.000,2,1
RL5M_ROCK,12,-29.657,-245.189,2454.636,-28.927,-245.227,2457.026,-30.387,-245.150,2452.245,5.000,110.000,115.000,1,1,0.750,0.050,1.000,100.000,2,1
RL5M_ROCK,12,-31.117,-245.112,2449.854,-30.387,-245.150,2452.245,-31.847,-245.074,2447.463,5.000,115.000,120.000,1,1,0.620,0.020,1.000,100.000,2,1
RL5M_ROCK,12,-32.576,-245.036,2445.073,-31.847,-245.074,2447.463,-33.306,-244.997,2442.682,5.000,120.000,125.000,1,1,0.600,0.030,1.000,100.000,2,1
RL5M_ROCK,12,-34.036,-244.959,2440.291,-33.306,-244.997,2442.682,-34.766,-244.921,2437.900,5.000,125.000,130.000,1,1,0.600,0.030,1.000,100.000,2,1
RL5M_ROCK,12,-35.496,-244.883,2435.510,-34.766,-244.921,2437.900,-36.226,-244.844,2433.119,5.000,130.000,135.000,1,1,0.580,0.020,1.000,100.000,2,1
RL5M_ROCK,12,-36.956,-244.806,2430.728,-36.226,-244.844,2433.119,-37.686,-244.768,2428.337,5.000,135.000,140.000,1,1,0.450,0.020,1.000,100.000,2,1
RL5M_ROCK,12,-38.416,-244.730,2425.947,-37.686,-244.768,2428.337,-39.146,-244.691,2423.556,5.000,140.000,145.000,1,1,0.510,0.020,1.000,100.000,2,1
RL5M_ROCK,12,-39.876,-244.653,2421.165,-39.146,-244.691,2423.556,-40.606,-244.615,2418.774,5.000,145.000,150.000,1,1,0.520,0.020,1.000,100.000,2,1
RL5M_ROCK,12,-41.336,-244.577,2416.384,-40.606,-244.615,2418.774,-42.066,-244.538,2413.993,5.000,150.000,155.000,1,1,0.570,0.040,1.000,100.000,2,1
RL5M_ROCK,12,-42.795,-244.500,2411.602,-42.066,-244.538,2413.993,-43.525,-244.462,2409.211,5.000,155.000,160.000,1,1,0.590,0.040,1.000,100.000,2,1
RL5M_ROCK,12,-44.255,-244.423,2406.820,-43.525,-244.462,2409.211,-44.985,-244.385,2404.430,5.000,160.000,165.000,1,1,0.670,0.040,1.000,100.000,2,1
RL5M_ROCK,12,-45.715,-244.347,2402.039,-44.985,-244.385,2404.430,-46.445,-244.309,2399.648,5.000,165.000,170.000,1,1,0.500,0.020,1.000,100.000,2,1
RL5M_ROCK,12,-47.175,-244.270,2397.257,-46.445,-244.309,2399.648,-47.905,-244.232,2394.867,5.000,170.000,175.000,1,1,0.740,0.030,1.000,100.000,2,1
RL5M_ROCK,13,48.113,-246.157,2549.235,48.760,-246.180,2551.650,47.467,-246.135,2546.820,5.000,0.000,5.000,6,,0.180,0.020,6.000,100.000,6,-99
RL5M_ROCK,13,46.820,-246.112,2544.406,47.467,-246.135,2546.820,46.173,-246.090,2541.991,5.000,5.000,10.000,6,,0.160,0.010,6.000,100.000,6,-99
RL5M_ROCK,13,45.527,-246.067,2539.576,46.173,-246.090,2541.991,44.880,-246.045,2537.161,5.000,10.000,15.000,6,,0.160,0.000,6.000,100.000,6,-99
RL5M_ROCK,13,44.233,-246.022,2534.746,44.880,-246.045,2537.161,43.587,-245.999,2532.331,5.000,15.000,20.000,6,,0.160,0.010,6.000,100.000,6,-99
RL5M_ROCK,13,42.940,-245.977,2529.917,43.587,-245.999,2532.331,42.293,-245.954,2527.502,5.000,20.000,25.000,6,,0.170,0.010,6.000,100.000,6,-99
RL5M_ROCK,13,41.647,-245.932,2525.087,42.293,-245.954,2527.502,41.000,-245.909,2522.672,5.000,25.000,30.000,6,,0.160,0.010,6.000,100.000,6,-99
RL5M_ROCK,13,40.354,-245.886,2520.257,41.000,-245.909,2522.672,39.707,-245.864,2517.843,5.000,30.000,35.000,6,,0.160,0.010,6.000,100.000,6,-99
RL5M_ROCK,13,39.060,-245.841,2515.428,39.707,-245.864,2517.843,38.414,-245.819,2513.013,5.000,35.000,40.000,6,,0.170,0.020,6.000,100.000,6,-99
RL5M_ROCK,13,37.767,-245.796,2510.598,38.414,-245.819,2513.013,37.120,-245.774,2508.183,5.000,40.000,45.000,6,,0.160,0.030,6.000,100.000,6,-99
RL5M_ROCK,13,37.109,-245.773,2508.142,37.120,-245.774,2508.183,37.098,-245.773,2508.101,0.085,45.000,45.085,1,,1.730,0.060,1.000,100.000,5,-99
RL5M_ROCK,13,36.452,-245.750,2505.686,37.098,-245.773,2508.101,35.805,-245.728,2503.272,5.000,45.085,50.085,1,1,1.736,0.060,1.000,100.000,5,1
RL5M_ROCK,13,35.158,-245.705,2500.857,35.805,-245.728,2503.272,34.512,-245.682,2498.442,5.000,50.085,55.085,1,1,2.105,0.080,1.000,100.000,5,1
RL5M_ROCK,13,33.865,-245.660,2496.027,34.512,-245.682,2498.442,33.218,-245.637,2493.612,5.000,55.085,60.085,1,1,2.967,0.079,1.000,100.000,5,1
RL5M_ROCK,13,32.572,-245.615,2491.198,33.218,-245.637,2493.612,31.925,-245.592,2488.783,5.000,60.085,65.085,1,1,1.656,0.030,1.000,100.000,5,1
